Numero,Efekti
1,"Värit kääntyvät negatiiveiksi, pelkoa ja hämmennystä (esim. paniikkitarkastuksia sivullisille)."
2,"Äänet kuuluvat vääristä suunnista (esim. kommunikaatiovaikeuksia ja kaaosta osastoissa)."
3,"Asiat valuvat kuin Dalin maalauksissa (esim. vaikeuksia vaurioittaa tai käsitellä asioita, kulkuongelmia)."
4,"Painovoima heittelehtii oikukkaasti alueella."
5,"Ääntä ei ole. Sanat leijuvat liekehtivinä hetken ilmassa siinä missä ne sanottiin."
6,"Eloton saa eläimellisiä vaikutteita (esim. talot ja kadut kasvattavat vääristyneitä naamoja, huonekalut käyvät kimppuun)."
7,"Vain kuunvalo on näkyvää (esim. olento näkyy vain yöllä tai kaikki sokeutuvat päivänvalossa)."
8,"Ääni halkoo materiaa (esim. tosinimellisiä voimia)."
9,"Pirstaloituminen ei murra topologista yhteyttä ilman muita tekijöitä (esim. silvottu on yhä terve)."
10,"Liha on vain mielen lelu (esim. kyky muovata omaa tai toisen kehoa)."
11,"Luu on uusi savi. Kuka on taiteilija? (esim. kyky rikkoa toisen luita kevyellä kosketuksella)"
12,"Peto sisällä vaatii vapautta (esim. ihmissusia)."
13,"Iho on todellisen ihmisen vankila (esim. ihon päältä repivää kauhukuvastoa)."
14,"Katse ei välttämättä tapa, mutta polttaa ainakin (esim. polttojälkiä näkösäteistä)."
15,"Luonnoton, ulvova valitus seuraa jokaista liikettä (esim. aseita heiluttaessa kuulee sen uhrien ulinan)."
16,"Organisoitunut toiminta on kivulias valhe (esim. koordinointi sattuu kuin ruoskan iskut)."
17,"Ajan kulku on läpsystä vaihdettava etuoikeus (esim. rajattu toimijajoukko kykenee johonkin)."
18,"Tuulessa kulkee pelottavia asioita (esim. henkiä, keijuja, irtautuneita pelkoja, Dolwinin varjo...)."
19,"Yhteenottoja edeltää wuxia-sankarien välinen mielten mittelö. Vasta toinen lasketaan (esim. alkumittelö toisen testaamiseen)."
