Numero,Tekeminen
1,"Salaisella tehtävällä."
2,"Kerjäämässä verta nenästään."
3,"Rettelöimässä yleisesti."
4,"Kuljettamassa viestiä johonkin, chilli meno."
5,"Kuljettamassa viestiä johonkin, kiire."
6,"Auttamassa muita."
7,"Kiusaamassa heikompiaan."
8,"Keräämässä suojelusrahoja."
9,"Keräämässä varusteita."
10,"Viettelemässä väkeä."
11,"Etsimässä jotakuta."
12,"Etsimässä jotakin."
13,"Värväämässä väkeä."
14,"Tuhopoltolla."
15,"Ruokatauolla."
16,"Hoitamassa haavoittuneita."
17,"Tiedustelukierroksella."
18,"Kinastelemassa keskenään."
19,"Kuljettamassa vankeja."
20,"Hankkimassa vankeja."
21,"Suorittamassa katukuulusteluja."
22,"Lynkkausmielialassa."
23,"Valmiina bilettämään."
24,"Omituisen taikuuden alaisina."
25,"Paniikissa."
26,"Valmiita myymään asioita."
27,"Ryöväämässä asioita."
28,"Matkalla taisteluun."
29,"Valmiita rynnäkköön."
30,"Väijyttämässä."
31,"Kostoiskulla."
32,"Levittämässä uskonnollista sanomaa."
33,"Valmiina ostamaan palveluksia."
34,"Valmiina myymään palveluksia."
35,"Etsimässä kidutettavia uhreja."
36,"Valeasuissa, väärät univormut."
37,"Musisoimassa."
38,"Harhauttamassa vihollisiaan."
39,"Jäljittämässä tuoretta kohdetta."
40,"Heitä seurataan."
41,"Väsyneitä sotaan."
42,"Innokkaan nationalistisessa hurmoksessa."
43,"Memeettisen kannibalismin alkuvaiheilla."
44,"Purkamassa turhautunutta raivoa."
45,"Vetämässä perseet."
46,"Leirissään."
47,"Poistumassa tilanteesta."
48,"Kuvittelevat pelaajia joksikin aivan muiksi."
49,"Ansoittamassa aluetta."
50,"Linnoittamassa aluetta."
